tenor,real_cod,spread,rating,offset,real_cod_AA
1.0,2.1205,0.2179,AA,0.6306,2.2481
2.0,2.1799,0.2179,AA,0.6306,2.3075
3.0,2.28,0.2579,AA,0.6306,2.4311
4.0,2.391,0.2979,AA,0.6306,2.5655
5.0,2.5121,0.3246,AA,0.6306,2.7022
6.0,2.666,0.3513,AA,0.6306,2.8718
7.0,2.8521,0.378,AA,0.6306,3.0735
8.0,3.0616,0.4046,AA,0.6306,3.2987
9.0,3.2672,0.4174,AA,0.6306,3.5117
10.0,3.4544,0.4163,AA,0.6306,3.6983
11.0,3.6247,0.4152,AA,0.6306,3.8679
12.0,3.7691,0.4141,AA,0.6306,4.0117
13.0,3.8843,0.415,AA,0.6306,4.1274
14.0,3.9687,0.4179,AA,0.6306,4.2136
15.0,4.0212,0.4209,AA,0.6306,4.2678
16.0,4.0451,0.4239,AA,0.6306,4.2934
17.0,4.0446,0.4268,AA,0.6306,4.2947
18.0,4.0249,0.4298,AA,0.6306,4.2767
19.0,3.991,0.4328,AA,0.6306,4.2445
20.0,3.9472,0.4357,AA,0.6306,4.2025
21.0,3.8939,0.4357,AA,0.6306,4.1492
22.0,3.836,0.4357,AA,0.6306,4.0913
23.0,3.7758,0.4357,AA,0.6306,4.0311
24.0,3.7156,0.4357,AA,0.6306,3.9709
25.0,3.6581,0.4357,AA,0.6306,3.9134
26.0,3.6064,0.4357,AA,0.6306,3.8617
27.0,3.5634,0.4357,AA,0.6306,3.8187
28.0,3.5319,0.4357,AA,0.6306,3.7872
29.0,3.5135,0.4357,AA,0.6306,3.7688
30.0,3.5077,0.4357,AA,0.6306,3.763
